name,title,url,author,publisher,issued,publisher_classification,description,tags,license_id,license_url,place,location,country,language,status,metadatacreated,generator,api_endpoint,api_type,full_metadata_download
alagoas-em-dados-e-informacoes,Alagoas em dados e informações,http://dados.al.gov.br/,,,,Government,"Open Data portal of the state of AL, in Brazil","local-government,br-AL,CKAN",,,"AL, Brazil",,BR,pt,active,2019-09-23T14:22:38Z,CKAN,http://dados.al.gov.br/api/3,CKAN API,
fortaleza-dados-abertos,Fortaleza Dados Abertos,http://dados.fortaleza.ce.gov.br/,,,,Government,"Open Data portal of the city of Fortaleza, CE, in Brazil","city,local-government,br-CE,Fortaleza,CKAN",,,"Fortaleza, CE, Brazil",,BR,pt,active,2019-09-23T14:22:38Z,CKAN,http://dados.fortaleza.ce.gov.br/api/3,CKAN API,
dados-abertos-tcm-ce,Dados abertos – TCM-CE,http://api.tcm.ce.gov.br/,,,,Government,,"local-government,br-CE",,,"CE, Brazil",,BR,pt,active,2019-09-23T14:22:38Z,,,,
dados-abertos-distrito-federal,Dados abertos Distrito Federal,http://dados.df.gov.br/,,,,Government,"Open Data portal of the state of DF, in Brazil","local-government,br-DF,CKAN",,,"DF, Brazil",,BR,pt,active,2019-09-23T14:22:38Z,CKAN,http://dados.df.gov.br/api/3,CKAN API,
dados-abertos-governo-do-es,Dados abertos – Governo do ES,https://transparencia.es.gov.br/DadosAbertos/BaseDeDados#,,,,Government,"Open Data portal of the state of ES, in Brazil","local-government,br-ES",,,"ES, Brazil",,BR,pt,active,2019-09-23T14:22:38Z,,,,
dados-abertos-goias-transparente,Dados abertos – Goiás Transparente,http://www.transparencia.go.gov.br/portaldatransparencia/institucional/dados-abertos,,,,Government,"Open Data portal of the state of GO, in Brazil","local-government,br-GO",,,"GO, Brazil",,BR,pt,active,2019-09-23T14:22:38Z,,,,
dados-abertos-assembleia-de-minas,Dados abertos – Assembleia de Minas,http://dadosabertos.almg.gov.br/ws/ajuda/sobre,,,,Government,"Open Data portal of the local parliament of the state of MG, in Brazil","local-government,br-MG",,,"MG, Brazil",,BR,pt,active,2019-09-23T14:22:38Z,,,,
dados-abertos-estado-de-mg,Dados abertos – Estado de MG,http://www.transparencia.mg.gov.br/dados-abertos,,,,Government,"Open Data portal of the state of MG, in Brazil","local-government,br-MG,CKAN",,,"MG, Brazil",,BR,pt,active,2019-09-23T14:22:38Z,CKAN,http://www.transparencia.mg.gov.br/api/3,CKAN API,
dados-abertos-do-sagres-tcepb,Dados abertos do SAGRES – TCE/PB,http://portal.tce.pb.gov.br/dados-abertos-do-sagres-tcepb/,,,,Government,,"local-government,br-PB",,,"PB, Brazil",,BR,pt,active,2019-09-23T14:22:38Z,,,,
dados-abertos-governo-de-pernambuco,Dados abertos – Governo de Pernambuco,http://www.dadosabertos.pe.gov.br/,,,,Government,"Open Data portal of the state of PE, in Brazil","local-government,br-PE",,,"PE, Brazil",,BR,pt,active,2019-09-23T14:22:38Z,,,,
dados-recife,Dados Recife,http://dados.recife.pe.gov.br,,,,Government,"Open Data portal of the city of Recife, PE, in Brazil","city,local-government,br-PE,Recife,CKAN",,,"Recife, PE, Brazil",,BR,pt,active,2019-09-23T14:22:38Z,CKAN,http://dados.recife.pe.gov.br/api/3,CKAN API,
dados-abertos-curitiba,Dados Abertos Curitiba,http://www.curitiba.pr.gov.br/dadosabertos/,,,,Government,"Open Data portal of the city of Curitiba, PR, in Brazil","city,local-government,br-PR,Curitiba",,,"Curitiba, PR, Brazil",,BR,pt,active,2019-09-23T14:22:38Z,,,,
datario,data.rio,http://data.rio/,,,,Government,"Open Data portal of the city of Rio de Janeiro, RJ, in Brazil","city,local-government,br-RJ,Rio de Janeiro,CKAN",,,"Rio de Janeiro, RJ, Brazil",,BR,pt,active,2019-09-23T14:22:38Z,CKAN,http://data.rio/api/3,CKAN API,
dados-geograficos-abertos-da-cidade-do-rio-de-janeiro,Dados Geográficos Abertos da Cidade do Rio de Janeiro,http://portalgeo.pcrj.opendata.arcgis.com/,,,,Government,"Open Data portal of the city of Rio de Janeiro, RJ, in Brazil","city,local-government,br-RJ,Rio de Janeiro",,,"Rio de Janeiro, RJ, Brazil",,BR,pt,active,2019-09-23T14:22:38Z,,,,
dados-rs,Dados RS,http://dados.rs.gov.br/,,,,Government,"Open Data portal of the state of RS, in Brazil","local-government,br-RS,CKAN",,,"RS, Brazil",,BR,pt,active,2019-09-23T14:22:38Z,CKAN,http://dados.rs.gov.br/api/3,CKAN API,
dados-abertos-novo-hamburgo,Dados abertos Novo Hamburgo,http://dados.novohamburgo.rs.gov.br/,,,,Government,"Open Data portal of the city of Novo Hamburgo, RS, in Brazil","city,local-government,br-RS,Novo Hamburgo,CKAN",,,"Novo Hamburgo, RS, Brazil",,BR,pt,active,2019-09-23T14:22:38Z,CKAN,http://dados.novohamburgo.rs.gov.br/api/3,CKAN API,
datapoa,DataPOA,http://www.datapoa.com.br/,,,,Government,"Open Data portal of the city of Porto Alegre, RS, in Brazil","city,local-government,br-RS,Porto Alegre,CKAN",,,"Porto Alegre, RS, Brazil",,BR,pt,active,2019-09-23T14:22:38Z,CKAN,http://www.datapoa.com.br/api/3,CKAN API,
governo-aberto-sp,Governo Aberto SP,http://www.governoaberto.sp.gov.br/,,,,Government,"Open Data portal of the state of SP, in Brazil","local-government,br-SP,CKAN",,,"SP, Brazil",,BR,pt,active,2019-09-23T14:22:38Z,CKAN,http://www.governoaberto.sp.gov.br/api/3,CKAN API,
programa-de-dados-abertos-do-parlamento,Programa de Dados Abertos do Parlamento,http://www.camara.sp.gov.br/transparencia/dados-abertos/,,,,Government,"Open Data portal of the local parliament of the city of São Paulo, SP, in Brazil","city,local-government,br-SP,São Paulo",,,"São Paulo, SP, Brazil",,BR,pt,active,2019-09-23T14:22:38Z,,,,
dados-abertos-legislativos-senado-federal,Dados Abertos Legislativos – Senado Federal,http://dadosabertos.senado.gov.br/,,,,Government,,,,,,,BR,pt,active,2019-09-23T14:22:38Z,,,,
dados-abertos-da-camara-dos-deputados,Dados abertos da Câmara dos Deputados,https://dadosabertos.camara.leg.br/,,,,Government,,,,,,,BR,pt,active,2019-09-23T14:22:38Z,,,,
dados-abertos-tce-rs,Dados Abertos TCE-RS,http://dados.tce.rs.gov.br/,,,,Government,,"local-government,br-RS,CKAN",,,"RS, Brazil",,BR,pt,active,2019-09-23T14:22:38Z,CKAN,http://dados.tce.rs.gov.br/api/3,CKAN API,
dados-abertos-mprs,Dados Abertos MPRS,http://dados.mprs.mp.br/,,,,Government,,"local-government,br-RS",,,"RS, Brazil",,BR,pt,active,2019-09-23T14:22:38Z,,,,
portal-da-transparencia-municipal,Portal da Transparência Municipal,http://transparencia.tce.sp.gov.br/,,,,Government,"Open Data portal of the local parliament of the state of SP, in Brazil","local-government,br-SP",,,"SP, Brazil",,BR,pt,active,2019-09-23T14:22:38Z,,,,
portal-dos-dados-abertos-tcern,Portal dos Dados Abertos TCE/RN,http://apidadosabertos.tce.rn.gov.br/,,,,Government,,"local-government,br-RN",,,"RN, Brazil",,BR,pt,active,2019-09-23T14:22:38Z,,,,
portal-de-dados-abertos-da-cidade-de-sao-paulo,Portal de Dados Abertos da Cidade de São Paulo,http://dados.prefeitura.sp.gov.br/,,,,Government,"Open Data portal of the city of São Paulo, SP, in Brazil","city,local-government,br-SP,São Paulo,CKAN",,,"São Paulo, SP, Brazil",,BR,pt,active,2019-09-23T14:22:38Z,CKAN,http://dados.prefeitura.sp.gov.br/api/3,CKAN API,
